_id|_labels|born|children|fingerprint|id|import|myId|myProp|name|other|prop|released|something|stuff|tagline|time|timestamp|title|uuid|_start|_end|_type|rating|roles|summary
0|:Movie|||||||||||1999|||Welcome to the Real World|||The Matrix|||||||
1|:Person|1964|||||||Keanu Reeves|444|||aae9d466-e3d1-4273-bfaf-1c0ef113de15|0.4836590050799454|||1637227099869||d04018f4-b447-4795-b32e-fe6288ee8e5f||||||
2|:Person|1967|["Al","John","Jack"]||||||Carrie-Anne Moss||||||||||91394dfb-4174-4c26-9aed-84d1632c3fa0||||||
3|:Person|1961|["Naruto","Sasuke","Sakura"]||||||Laurence Fishburne||||||||||d76f24d3-55f0-4164-b822-ae4090e6c4ff||||||
4|:Person|1960|||||||Hugo Weaving||||||||||99f78a29-b198-42ed-ae32-2e27c32096c2||||||
5|:Person|1967|||||||Lilly Wachowski||||||||||9a9c9a74-c5ef-48c9-be32-ff50bba872d0||||||
6|:Person|1965|||||||Lana Wachowski||||||||||be365468-9348-43c4-beb6-7d51dd09b097||||||
7|:Person|1952|||||||Joel Silver||||||||||20a24c8b-7a41-4b4b-a7a4-e15108d8f716||||||
8|:Person|1978|||||||Emil Eifrem||||||||||354af106-ac5c-4c2a-9bda-cfe0ff678012||||||
9|:Movie|||||||||||2003|||Free your mind|||The Matrix Reloaded|||||||
10|:Movie|||||||||||2003|||Everything that has a beginning has an end|||The Matrix Revolutions|||||||
11|:Movie|||||||||||1997|||Evil has its winning ways|||The Devil's Advocate|||||||
12|:Person|1975|||||||Charlize Theron||||||||||eb923571-554e-4cff-b418-5bc8d97f6ed9||||||
13|:Person|1940|||||||Al Pacino||||||||||c687ef45-e012-49f4-9ce8-2d966f7cfe9b||||||
14|:Person|1944|||||||Taylor Hackford||||||||||3d1b3fd0-6f30-49be-a811-d75650e3f39d||||||
15|:Movie|||||||||||1992|||In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.|||A Few Good Men|||||||
16|:Person|1962|||||||Tom Cruise||||||||||c267f06a-9b0f-4ee9-8ad8-93b830c9ebd6||||||
