"_id","_labels","born","children","name","other","something","stuff","timestamp","uuid","_start","_end","_type"
"1",":Person","1964","","Keanu Reeves","444","aae9d466-e3d1-4273-bfaf-1c0ef113de15","0.4836590050799454","1637227099869","d04018f4-b447-4795-b32e-fe6288ee8e5f",,,
"2",":Person","1967","[""Al"",""John"",""Jack""]","Carrie-Anne Moss","","","","","91394dfb-4174-4c26-9aed-84d1632c3fa0",,,
"3",":Person","1961","[""Naruto"",""Sasuke"",""Sakura""]","Laurence Fishburne","","","","","d76f24d3-55f0-4164-b822-ae4090e6c4ff",,,
"4",":Person","1960","","Hugo Weaving","","","","","99f78a29-b198-42ed-ae32-2e27c32096c2",,,
"5",":Person","1967","","Lilly Wachowski","","","","","9a9c9a74-c5ef-48c9-be32-ff50bba872d0",,,
"6",":Person","1965","","Lana Wachowski","","","","","be365468-9348-43c4-beb6-7d51dd09b097",,,
"7",":Person","1952","","Joel Silver","","","","","20a24c8b-7a41-4b4b-a7a4-e15108d8f716",,,
"8",":Person","1978","","Emil Eifrem","","","","","354af106-ac5c-4c2a-9bda-cfe0ff678012",,,
"12",":Person","1975","","Charlize Theron","","","","","eb923571-554e-4cff-b418-5bc8d97f6ed9",,,
"13",":Person","1940","","Al Pacino","","","","","c687ef45-e012-49f4-9ce8-2d966f7cfe9b",,,
"14",":Person","1944","","Taylor Hackford","","","","","3d1b3fd0-6f30-49be-a811-d75650e3f39d",,,
"16",":Person","1962","","Tom Cruise","","","","","c267f06a-9b0f-4ee9-8ad8-93b830c9ebd6",,,
"17",":Person","1937","","Jack Nicholson","","","","","693f9dfa-72c5-40bd-8a3b-0cf1fdc00621",,,
"18",":Person","1962","","Demi Moore","","","","","13567fbd-c26e-4a5c-b310-9c64aa849e03",,,
"19",":Person","1958","","Kevin Bacon","","","","","82c1532b-c047-448a-be32-6b0f8dca23f1",,,
"20",":Person","1966","","Kiefer Sutherland","","","","","1fc6993c-60e4-4602-bcdb-b2091561b335",,,
"21",":Person","1971","","Noah Wyle","","","","","cd740533-85d3-49a3-8fdd-fb37e7d02071",,,
"22",":Person","1968","","Cuba Gooding Jr.","","","","","b4b2e6f5-6fe2-433d-a562-b5bfbb4fe64c",,,
"23",":Person","1957","","Kevin Pollak","","","","","c10fd8df-47c7-4a46-8406-30f1f506f11d",,,
"24",":Person","1943","","J.T. Walsh","","","","","0c111512-e646-44b4-9b8d-1d29a85fa716",,,
"25",":Person","1967","","James Marshall","","","","","2157ccc5-64f2-4d3b-a079-597ec714a4a0",,,
"26",":Person","1948","","Christopher Guest","","","","","e47f4ee1-4586-4a6a-b528-f9d48b4651b1",,,
"27",":Person","1947","","Rob Reiner","","","","","0d057be0-d7ba-4058-99a5-4f92d030c540",,,
"28",":Person","1961","","Aaron Sorkin","","","","","184dc0e8-a636-4e49-8237-88c34df5a4ab",,,
"30",":Person","1957","","Kelly McGillis","","","","","3533a74e-402c-413e-ad3b-e9327898cdc2",,,
"31",":Person","1959","","Val Kilmer","","","","","394cc7df-6d7e-4d8c-98dc-80f9b6db8c50",,,
"32",":Person","1962","","Anthony Edwards","","","","","df6af617-00a7-489f-b267-1653ecfd1fb8",,,
"33",":Person","1933","","Tom Skerritt","","","","","8c6e868c-5eda-4ff3-9d5a-8cec860a8407",,,
"34",":Person","1961","","Meg Ryan","","","","","6661352e-eb55-4110-b7d4-04ea9343d9ec",,,
"35",":Person","1944","","Tony Scott","","","","","486fec63-d1b9-467c-bd6f-b27d00030319",,,
"36",":Person","1941","","Jim Cash","","","","","b84840f8-0421-4c29-a489-761c2e761896",,,
"38",":Person","1969","","Renee Zellweger","","","","","4b8a07df-44a7-457f-9f5b-617f56897a39",,,
"39",":Person","1962","","Kelly Preston","","","","","c487aa0d-e418-4e93-91cf-9d429088cb58",,,
"40",":Person","1974","","Jerry O'Connell","","","","","b0a3cc3e-6283-4cb2-939e-c4d83f66324d",,,
"41",":Person","1970","","Jay Mohr","","","","","99c00b1c-4edc-4035-8e90-cf3cd6b1e867",,,
"42",":Person","1961","","Bonnie Hunt","","","","","7ccd626b-6de7-4ebb-ab88-0f12ecbf9a17",,,
"43",":Person","1971","","Regina King","","","","","f0224c6e-048d-4bc7-8636-51eb9739ad92",,,
"44",":Person","1996","","Jonathan Lipnicki","","","","","ce78e7e0-ab55-4df0-8780-1bc73b9a6377",,,
"45",":Person","1957","","Cameron Crowe","","","","","3d98ccab-1a06-4295-b0ec-83591e553c86",,,
"47",":Person","1970","","River Phoenix","","","","","3d8f221a-ebb0-4b4e-8900-6be319a7e55f",,,
"48",":Person","1971","","Corey Feldman","","","","","6f1e44e2-a006-4472-a1b3-34d8cfc91c2a",,,
"49",":Person","1972","","Wil Wheaton","","","","","f8e9ddf2-3b2f-4fe9-80a8-5917a5c18078",,,
"50",":Person","1966","","John Cusack","","","","","fc80428f-9035-4712-af66-6f9f995babb4",,,
"51",":Person","1942","","Marshall Bell","","","","","d2727806-a36c-4ab4-b7b7-02b30c851c8f",,,
