_id|_labels|bar|body|born|children|id|myProp|name|prop|released|tagline|time|title|uuid|_start|_end|_type|id|rating|roles|summary
0|:Movie|||||||||0|My carpenter with 30 thousand lire did it better||3 men and 1 leg||||||||
1|:Movie|||||||||1999|Welcome to the Real World||The Matrix||||||||
2|:Person|||1964||||Giandomenico Fracchia||||||3b29c7bd-6865-410a-82da-5a32f9aba9df|||||||
3|:Person|||1967|["Al","John","Jack"]|||Carrie-Anne Moss||||||fa3a8445-d3cc-491c-8429-1f9859fdf480|||||||
4|:Person|||1961|["Naruto","Sasuke","Sakura"]|||Laurence Fishburne||||||0d534a21-4e5e-40db-9c9f-c3a18d99a98c|||||||
5|:Person|||1960||||Hugo Weaving||||||ad6fa028-5365-48ca-8965-c08568cd9f2b|||||||
6|:Person|||1967||||Lilly Wachowski||||||0009eb03-04bb-4126-b4dc-623d638c6567|||||||
7|:Person|||1965||||Lana Wachowski||||||1e827541-adcb-4cc0-b1af-aabe0187694e|||||||
8|:Person|||1952||||Franco e Ciccio||||||56284274-c776-4a08-93f2-ae15cb67175d|||||||
9|:Person|||1978||||Emil Eifrem||||||31ab2535-a2ab-4554-baab-f1b4f987b7d4|||||||
10|:Movie|||||||||2003|Free your mind||The Matrix Reloaded||||||||
11|:Movie|||||||||2003|Everything that has a beginning has an end||The Matrix Revolutions||||||||
12|:Movie|||||||||1997|Evil has its winning ways||The Devil's Advocate||||||||
13|:Person|||1975||||Charlize Theron||||||492ed0fb-96b7-4b56-83d4-cbda8e743196|||||||
14|:Person|||1940||||Al Pacino||||||67c8a856-def1-46a9-acd7-631437084bf4|||||||
15|:Person|||1944||||Taylor Hackford||||||26739623-40f7-4fa9-8a70-8904d2eb8e15|||||||
16|:Movie|||||||||1992|In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.||A Few Good Men||||||||
17|:Person|||1962||||Tom Cruise||||||a9b4a2d9-2834-422a-ab4c-5822d43094ea|||||||
18|:Person|||1937||||Jack Nicholson||||||f67f82c3-f18a-497d-9690-c65b06864679|||||||
19|:Person|||1962||||Demi Moore||||||7d061970-aae5-4e2b-8d82-7519572aee22|||||||
20|:Person|||1958||||Kevin Bacon||||||501c65ea-1eae-4d81-8fc4-7e64754953a2|||||||
21|:Person|||1966||||Kiefer Sutherland||||||aaa0f73b-974f-483d-811f-809c5cce5105|||||||
