"_id","_labels","born","name","released","tagline","title","_start","_end","_type","rating","roles","summary"
"0",":Movie","","","1999","Welcome to the Real World","The Matrix",,,,,,
"1",":Person","1964","Keanu Reeves","","","",,,,,,
"2",":Person","1967","Carrie-Anne Moss","","","",,,,,,
"3",":Person","1961","Laurence Fishburne","","","",,,,,,
"4",":Person","1960","Hugo Weaving","","","",,,,,,
"5",":Person","1967","Lilly Wachowski","","","",,,,,,
"6",":Person","1965","Lana Wachowski","","","",,,,,,
"7",":Person","1952","Joel Silver","","","",,,,,,
"8",":Person","1978","Emil Eifrem","","","",,,,,,
"9",":Movie","","","2003","Free your mind","The Matrix Reloaded",,,,,,
"10",":Movie","","","2003","Everything that has a beginning has an end","The Matrix Revolutions",,,,,,
"11",":Movie","","","1997","Evil has its winning ways","The Devil's Advocate",,,,,,
"12",":Person","1975","Charlize Theron","","","",,,,,,
"13",":Person","1940","Al Pacino","","","",,,,,,
"14",":Person","1944","Taylor Hackford","","","",,,,,,
"15",":Movie","","","1992","In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.","A Few Good Men",,,,,,
"16",":Person","1962","Tom Cruise","","","",,,,,,
"17",":Person","1937","Jack Nicholson","","","",,,,,,
"18",":Person","1962","Demi Moore","","","",,,,,,
"19",":Person","1958","Kevin Bacon","","","",,,,,,
"20",":Person","1966","Kiefer Sutherland","","","",,,,,,
"21",":Person","1971","Noah Wyle","","","",,,,,,
"22",":Person","1968","Cuba Gooding Jr.","","","",,,,,,
"23",":Person","1957","Kevin Pollak","","","",,,,,,
"24",":Person","1943","J.T. Walsh","","","",,,,,,
"25",":Person","1967","James Marshall","","","",,,,,,
"26",":Person","1948","Christopher Guest","","","",,,,,,
"27",":Person","1947","Rob Reiner","","","",,,,,,
"28",":Person","1961","Aaron Sorkin","","","",,,,,,
"29",":Movie","","","1986","I feel the need, the need for speed.","Top Gun",,,,,,
"30",":Person","1957","Kelly McGillis","","","",,,,,,
"31",":Person","1959","Val Kilmer","","","",,,,,,
"32",":Person","1962","Anthony Edwards","","","",,,,,,
"33",":Person","1933","Tom Skerritt","","","",,,,,,
"34",":Person","1961","Meg Ryan","","","",,,,,,
"35",":Person","1944","Tony Scott","","","",,,,,,
"36",":Person","1941","Jim Cash","","","",,,,,,
"37",":Movie","","","2000","The rest of his life begins now.","Jerry Maguire",,,,,,
"38",":Person","1969","Renee Zellweger","","","",,,,,,
"39",":Person","1962","Kelly Preston","","","",,,,,,
