_id,_labels,age,bar,body,born,children,eyes,fingerprint,hair,id,import,myId,myProp,name,other,prop,released,something,stuff,tagline,time,timestamp,title,uuid,_start,_end,_type,id,rating,roles,summary
0,:Movie,,,,,,,,,,,,,,,,0,,,My carpenter with 30 thousand lire did it better,,,3 men and 1 leg,,,,,,,,
1,:Movie,,,,,,,,,,,,,,,,1999,,,Welcome to the Real World,,,The Matrix,,,,,,,,
2,:Person,,,,1964,,,,,,,,,Giandomenico Fracchia,444,,,8d91382c-372c-4952-b8db-b0b417c39fa2,0.46906873841357555,,,1648200777563,,65965404-4fc3-451a-afca-190371d9145b,,,,,,,
3,:Person,,,,1967,"["Al","John","Jack"]",,,,,,,,Carrie-Anne Moss,,,,,,,,,,3d82dddf-be90-410d-9b43-52d359344ceb,,,,,,,
4,:Person,,,,1961,"["Naruto","Sasuke","Sakura"]",,,,,,,,Laurence Fishburne,,,,,,,,,,3570039c-983d-4d75-914a-9dba0293cc18,,,,,,,
5,:Person,,,,1960,,,,,,,,,Hugo Weaving,,,,,,,,,,0671dc7e-46f5-4f7b-aff6-75ec5f46341f,,,,,,,
6,:Person,,,,1967,,,,,,,,,Lilly Wachowski,,,,,,,,,,d0387498-9c35-4290-b624-a162388e0d9b,,,,,,,
7,:Person,,,,1965,,,,,,,,,Lana Wachowski,,,,,,,,,,2dd61d58-be6e-4951-89da-5fea8f7541b2,,,,,,,
8,:Person,,,,1952,,,,,,,,,Franco e Ciccio,,,,,,,,,,4aa69d17-d3d8-4812-961a-694b3ca084d3,,,,,,,
9,:Person,,,,1978,,,,,,,,,Emil Eifrem,,,,,,,,,,fe7de34e-6078-43df-acb1-eef562cc5fad,,,,,,,
10,:Movie,,,,,,,,,,,,,,,,2003,,,Free your mind,,,The Matrix Reloaded,,,,,,,,
11,:Movie,,,,,,,,,,,,,,,,2003,,,Everything that has a beginning has an end,,,The Matrix Revolutions,,,,,,,,
12,:Movie,,,,,,,,,,,,,,,,1997,,,Evil has its winning ways,,,The Devil's Advocate,,,,,,,,
13,:Person,,,,1975,,,,,,,,,Charlize Theron,,,,,,,,,,bc7ea69c-eb66-4afb-8cb1-4776901973a8,,,,,,,
14,:Person,,,,1940,,,,,,,,,Al Pacino,,,,,,,,,,7f7e8c0c-76fe-4b9c-a715-510c6b85740d,,,,,,,
