"_id","_labels","born","name","unique","_start","_end","_type"
"5",":Person","1967","Lilly Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"5",":Person","1967","Lilly Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"5",":Person","1967","Lilly Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"5",":Person","1967","Lilly Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"5",":Person","1967","Lilly Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"6",":Person","1965","Lana Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"6",":Person","1965","Lana Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"6",":Person","1965","Lana Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"6",":Person","1965","Lana Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"6",":Person","1965","Lana Wachowski","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"14",":Person","1944","Taylor Hackford","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"25",":Person","1967","James Marshall","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"25",":Person","1967","James Marshall","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"27",":Person","1947","Rob Reiner","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"27",":Person","1947","Rob Reiner","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"27",":Person","1947","Rob Reiner","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"35",":Person","1944","Tony Scott","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"45",":Person","1957","Cameron Crowe","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"55",":Person","1940","James L. Brooks","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"59",":Person","1942","Werner Herzog","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"61",":Person","1956","Vincent Ward","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"66",":Person","1953","Scott Hicks","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"71",":Person","1956","Tom Hanks","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"72",":Person","1941","Nora Ephron","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"72",":Person","1941","Nora Ephron","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"79",":Person","1950","John Patrick Stanley","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"91",":Person","1950","Howard Deutch","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"96",":Person","1931","Mike Nichols","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"96",":Person","1931","Mike Nichols","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"99",":Person","1930","Clint Eastwood","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"104",":Person","1953","Robert Longo","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"108",":Person","1965","Tom Tykwer","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"115",":Person","1954","Ron Howard","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"115",":Person","1954","Ron Howard","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"115",":Person","1954","Ron Howard","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"136",":Person","1959","Frank Darabont","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"142",":Person","1944","Danny DeVito","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"149",":Person","1943","Jan de Bont","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"151",":Person","1951","Robert Zemeckis","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"151",":Person","1951","Robert Zemeckis","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
"153",":Person","1932","Milos Forman","76d3384b-c8b9-4b99-a591-b90f34c0bb96",,,
