_id,_labels,body,born,children,id,import,myId,name,released,something,stuff,tagline,title,uuid,_start,_end,_type,rating,roles,summary
0,:Movie,,,,,,,,0,,,My carpenter with 30 thousand lire did it better,3 men and 1 leg,,,,,,,
1,:Movie,,,,,,,,1999,,,Welcome to the Real World,The Matrix,,,,,,,
2,:Person,,1964,,,,,Keanu Reeves,,3dc35665-93cf-44c9-854c-039770d34c44,0.606969994890772,,,021bdae9-8bcf-4025-b5b5-49a71bba5e84,,,,,,
3,:Person,,1967,["Al","John","Jack"],,,,Carrie-Anne Moss,,,,,,c9d08e0a-38c3-43bc-a5a0-f2eeee1a58b4,,,,,,
4,:Person,,1961,["Naruto","Sasuke","Sakura"],,,,Laurence Fishburne,,,,,,b2a6cd16-e15c-42a7-bfee-4175c97a1f40,,,,,,
5,:Person,,1960,,,,,Hugo Weaving,,,,,,5a326910-c056-47a6-bfbf-915d0f0303bb,,,,,,
6,:Person,,1967,,,,,Lilly Wachowski,,,,,,d10b124e-eb34-4a98-96a1-4f0e34b22ea9,,,,,,
7,:Person,,1965,,,,,Lana Wachowski,,,,,,4d5fc343-852a-46d2-8dc2-a49180e4ddbd,,,,,,
8,:Person,,1952,,,,,Joel Silver,,,,,,a97edb93-ca7b-4d9f-a41f-2619d93f1141,,,,,,
9,:Person,,1978,,,,,Emil Eifrem,,,,,,cc58e89b-573e-4a4f-a1bf-483bb4d74f8c,,,,,,
10,:Movie,,,,,,,,2003,,,Free your mind,The Matrix Reloaded,,,,,,,
11,:Movie,,,,,,,,2003,,,Everything that has a beginning has an end,The Matrix Revolutions,,,,,,,
12,:Movie,,,,,,,,1997,,,Evil has its winning ways,The Devil's Advocate,,,,,,,
13,:Person,,1975,,,,,Charlize Theron,,,,,,463592c2-09ab-4294-ba29-9df0ce19b8bd,,,,,,
14,:Person,,1940,,,,,Al Pacino,,,,,,2cc58f52-f320-411a-bfa6-43e2d375a06d,,,,,,
15,:Person,,1944,,,,,Taylor Hackford,,,,,,62909063-5029-44c5-9564-de7cdc9947a0,,,,,,
16,:Movie,,,,,,,,1992,,,In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.,A Few Good Men,,,,,,,
17,:Person,,1962,,,,,Tom Cruise,,,,,,46face41-26f3-4046-b700-d303bd455897,,,,,,
