_id,_labels,born,children,name,released,tagline,title,unique,_start,_end,_type,rating,roles,summary
0,:Movie,,,,1999,Welcome to the Real World,The Matrix,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
1,:Person,1964,,Keanu Reeves,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
2,:Person,1967,"["Al","John","Jack"]",Carrie-Anne Moss,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
3,:Person,1961,"["Naruto","Sasuke","Sakura"]",Laurence Fishburne,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
4,:Person,1960,,Hugo Weaving,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
5,:Person,1967,,Lilly Wachowski,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
6,:Person,1965,,Lana Wachowski,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
7,:Person,1952,,Joel Silver,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
8,:Person,1978,,Emil Eifrem,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
9,:Movie,,,,2003,Free your mind,The Matrix Reloaded,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
10,:Movie,,,,2003,Everything that has a beginning has an end,The Matrix Revolutions,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
11,:Movie,,,,1997,Evil has its winning ways,The Devil's Advocate,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
12,:Person,1975,,Charlize Theron,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
13,:Person,1940,,Al Pacino,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
14,:Person,1944,,Taylor Hackford,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
15,:Movie,,,,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
16,:Person,1962,,Tom Cruise,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
17,:Person,1937,,Jack Nicholson,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
18,:Person,1962,,Demi Moore,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
19,:Person,1958,,Kevin Bacon,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
20,:Person,1966,,Kiefer Sutherland,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
21,:Person,1971,,Noah Wyle,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
22,:Person,1968,,Cuba Gooding Jr.,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
23,:Person,1957,,Kevin Pollak,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
24,:Person,1943,,J.T. Walsh,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
25,:Person,1967,,James Marshall,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
26,:Person,1948,,Christopher Guest,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
27,:Person,1947,,Rob Reiner,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
28,:Person,1961,,Aaron Sorkin,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
29,:Movie,,,,1986,"I feel the need, the need for speed.",Top Gun,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
30,:Person,1957,,Kelly McGillis,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
31,:Person,1959,,Val Kilmer,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
32,:Person,1962,,Anthony Edwards,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
